Sample,Value
0,270
1,303
2,309
3,266
4,249
5,279
6,303
7,273
8,243
9,272
10,304
11,242
12,236
13,279
14,298
15,246
16,241
17,276
18,294
19,254
20,241
21,267
22,280
23,249
24,221
25,273
26,293
27,266
28,236
29,281
30,274
31,253
32,238
33,283
34,283
35,244
36,244
37,27
38,8
39,283
40,261
41,243
42,281
43,291
44,252
45,234
46,267
47,285
48,246
49,249
50,267
51,292
52,245
53,232
54,267
55,298
56,257
57,231
58,268
59,296
60,245
61,232
62,270
63,291
64,241
65,244
66,277
67,295
68,254
69,244
70,269
71,288
72,255
73,244
74,273
75,296
76,254
77,245
78,269
79,284
80,244
81,246
82,266
83,283
84,245
85,237
86,274
87,285
88,245
89,237
90,265
91,294
92,238
93,235
94,279
95,283
96,244
97,240
98,288
99,285
100,255
101,234
102,278
103,276
104,248
105,245
106,280
107,295
108,253
109,253
110,282
111,286
112,257
113,23
114,0
115,286
116,280
117,241
118,246
119,274
120,283
121,237
122,244
123,269
124,286
125,245
126,242
127,292
128,282
129,259
130,241
131,267
132,292
133,256
134,244
135,279
136,283
137,240
138,233
139,289
140,289
141,244
142,242
143,285
144,291
145,236
146,231
147,279
148,279
149,245
150,240
151,281
152,272
153,248
154,246
155,269
156,292
157,261
158,243
159,277
160,273
161,250
162,237
163,279
164,280
165,237
166,254
167,262
168,281
169,240
170,237
171,260
172,294
173,235
174,247
175,279
176,280
177,244
178,232
179,289
180,286
181,257
182,238
183,279
184,281
185,261
186,249
187,278
188,274
189,24
190,0
191,242
192,277
193,279
194,254
195,233
196,289
197,302
198,252
199,234
200,289
201,289
202,249
203,232
204,276
205,292
206,236
207,231
208,279
209,283
210,250
211,243
212,279
213,276
214,261
215,253
216,268
217,273
218,250
219,234
220,280
221,274
222,242
223,228
224,281
225,283
226,250
227,232
228,274
229,298
230,236
231,262
232,288
233,279
234,254
235,241
236,283
237,286
238,241
239,245
240,286
241,292
242,248
243,246
244,267
245,292
246,244
247,244
248,283
249,283
250,244
251,252
252,276
253,293
254,243
255,249
256,288
257,290
258,249
259,246
260,283
261,281
262,240
263,243
264,269
265,27
266,7
267,241
268,242
269,274
270,285
271,257
272,247
273,283
274,289
275,240
276,249
277,266
278,284
279,232
280,242
281,290
282,280
283,243
284,233
285,280
286,294
287,241
288,248
289,281
290,278
291,248
292,237
293,280
294,272
295,252
296,236
297,269
298,272
299,242
300,244
301,273
302,279
303,247
304,261
305,276
306,282
307,234
308,247
309,288
310,279
311,236
312,236
313,282
314,277
315,243
316,248
317,285
318,279
319,253
320,238
321,277
322,296
323,244
324,255
325,290
326,289
327,244
328,250
329,291
330,277
331,252
332,243
333,277
334,282
335,247
336,232
337,279
338,267
339,245
340,242
341,28
342,3
343,273
344,245
345,244
346,290
347,292
348,245
349,244
350,283
351,279
352,242
353,250
354,279
355,281
356,241
357,245
358,279
359,269
360,244
361,248
362,269
363,292
364,244
365,250
366,295
367,277
368,243
369,255
370,282
371,276
372,258
373,241
374,284
375,279
376,250
377,259
378,281
379,282
380,246
381,240
382,279
383,293
384,245
385,240
386,284
387,296
388,246
389,247
390,280
391,279
392,253
393,246
394,269
395,277
396,247
397,235
398,283
399,279
400,236
401,242
402,280
403,277
404,232
405,240
406,288
407,284
408,243
409,241
410,283
411,268
412,262
413,253
414,283
415,284
416,244
417,25
418,3
419,290
420,274
421,250
422,253
423,274
424,279
425,238
426,240
427,277
428,277
429,231
430,242
431,279
432,285
433,234
434,252
435,284
436,288
437,243
438,241
439,283
440,279
441,241
442,242
443,282
444,284
445,248
446,241
447,281
448,280
449,252
450,241
451,294
452,285
453,247
454,248
455,280
456,291
457,238
458,240
459,285
460,281
461,246
462,245
463,271
464,266
465,245
466,253
467,283
468,286
469,240
470,245
471,278
472,279
473,258
474,244
475,283
476,284
477,245
478,260
479,279
480,277
481,261
482,243
483,276
484,283
485,235
486,244
487,288
488,280
489,242
490,249
491,273
492,280
493,24
494,6
495,234
496,297
497,289
498,240
499,244
500,288
501,279
502,252
503,249
504,284
505,282
506,242
507,253
508,283
509,276
510,243
511,253
512,273
513,283
514,238
515,253
516,288
517,292
518,248
519,252
520,289
521,290
522,244
523,257
524,281
525,286
526,244
527,258
528,279
529,269
530,253
531,257
532,281
533,286
534,230
535,238
536,288
537,292
538,242
539,253
540,282
541,280
542,233
543,248
544,283
545,268
546,253
547,257
548,294
549,268
550,246
551,248
552,294
553,274
554,238
555,245
556,280
557,274
558,225
559,249
560,282
561,273
562,232
563,256
564,290
565,285
566,253
567,248
568,296
569,28
570,5
571,245
572,240
573,292
574,268
575,253
576,249
577,283
578,264
579,234
580,237
581,285
582,274
583,244
584,243
585,284
586,278
587,236
588,257
589,279
590,268
591,244
592,254
593,276
594,280
595,244
596,262
597,285
598,264
599,238
600,245
601,273
602,276
603,236
604,255
605,298
606,278
607,237
608,259
609,282
610,285
611,235
612,256
613,281
614,270
615,237
616,245
617,286
618,280
619,246
620,267
621,280
622,265
623,238
624,250
625,282
626,274
627,234
628,249
629,292
630,278
631,241
632,253
633,288
634,267
635,248
636,261
637,293
638,277
639,242
640,247
641,280
642,285
643,241
644,246
645,28
646,3
647,272
648,237
649,246
650,295
651,270
652,236
653,250
654,294
655,269
656,242
657,245
658,284
659,282
660,233
661,247
662,284
663,272
664,244
665,244
666,279
667,288
668,235
669,257
670,292
671,296
672,235
673,255
674,282
675,271
676,240
677,260
678,286
679,271
680,243
681,258
682,295
683,262
684,240
685,266
686,281
687,284
688,241
689,254
690,297
691,260
692,253
693,266
694,283
695,269
696,234
697,262
698,298
699,272
700,244
701,256
702,286
703,267
704,237
705,257
706,293
707,256
708,248
709,253
710,284
711,280
712,234
713,252
714,297
715,274
716,238
717,258
718,295
719,270
720,243
721,25
722,2
723,291
724,262
725,247
726,258
727,279
728,261
729,230
730,252
731,284
732,254
733,234
734,247
735,280
736,264
737,237
738,262
739,298
740,265
741,240
742,260
743,283
744,269
745,243
746,262
747,292
748,267
749,243
750,267
751,289
752,279
753,244
754,249
755,301
756,262
757,233
758,267
759,300
760,262
761,237
762,250
763,278
764,283
765,240
766,247
767,290
768,262
769,238
770,258
771,283
772,269
773,241
774,274
775,290
776,280
777,241
778,270
779,285
780,280
781,245
782,258
783,284
784,270
785,236
786,261
787,288
788,259
789,245
790,250
791,278
792,267
793,240
794,264
795,293
796,279
797,24
798,4
799,261
800,279
801,280
802,240
803,255
804,281
805,261
806,235
807,260
808,284
809,268
810,250
811,267
812,289
813,271
814,253
815,270
816,288
817,261
818,249
819,261
820,285
821,266
822,237
823,270
824,298
825,264
826,233
827,264
828,297
829,281
830,235
831,255
832,285
833,277
834,243
835,250
836,286
837,259
838,235
839,279
840,279
841,270
842,248
843,259
844,276
845,267
846,246
847,267
848,278
849,261
850,244
851,272
852,298
853,260
854,245
855,268
856,286
857,279
858,235
859,245
860,296
861,262
862,238
863,256
864,286
865,277
866,233
867,259
868,280
869,259
870,235
871,269
872,305
873,26
874,2
875,246
876,261
877,288
878,268
879,241
880,266
881,284
882,264
883,257
884,270
885,292
886,276
887,224
888,274
889,282
890,270
891,233
892,267
893,286
894,259
895,230
896,250
897,284
898,267
899,234
900,261
901,296
902,257
903,232
904,267
905,283
906,269
907,231
908,264
909,281
910,257
911,257
912,271
913,288
914,270
915,230
916,279
917,297
918,262
919,232
920,270
921,296
922,274
923,228
924,261
925,290
926,279
927,237
928,255
929,282
930,264
931,242
932,257
933,286
934,280
935,240
936,262
937,290
938,266
939,237
940,269
941,297
942,261
943,235
944,268
945,292
946,280
947,250
948,277
949,28
950,9
951,269
952,244
953,264
954,294
955,259
956,230
957,260
958,294
959,264
960,238
961,260
962,286
963,281
964,253
965,279
966,296
967,253
968,247
969,260
970,284
971,255
972,244
973,259
974,290
975,271
976,241
977,257
978,295
979,261
980,259
981,268
982,293
983,265
984,237
985,266
986,288
987,259
988,244
989,264
990,293
991,266
992,238
993,269
994,286
995,256
996,230
997,270
998,296
999,277
1000,238
1001,265
1002,301
1003,265
1004,241
1005,270
1006,286
1007,265
1008,240
1009,274
1010,286
1011,255
1012,249
1013,276
1014,289
1015,260
1016,228
1017,272
1018,280
1019,269
1020,232
1021,266
1022,285
1023,265
1024,245
1025,28
1026,3
1027,295
1028,273
1029,242
1030,280
1031,298
1032,266
1033,233
1034,264
1035,289
1036,264
1037,257
1038,281
1039,294
1040,249
1041,244
1042,260
1043,292
1044,270
1045,232
1046,271
1047,286
1048,258
