Sample,Value
0,367
1,297
2,283
3,330
4,330
5,278
6,258
7,336
8,321
9,262
10,265
11,329
12,330
13,280
14,265
15,320
16,324
17,274
18,255
19,319
20,331
21,265
22,270
23,327
24,320
25,259
26,265
27,325
28,324
29,320
30,297
31,309
32,252
33,246
34,314
35,317
36,258
37,26
38,5
39,324
40,318
41,261
42,255
43,321
44,320
45,279
46,267
47,322
48,322
49,271
50,259
51,322
52,321
53,265
54,261
55,315
56,314
57,261
58,256
59,313
60,325
61,256
62,271
63,314
64,332
65,266
66,268
67,317
68,331
69,272
70,268
71,321
72,333
73,259
74,262
75,333
76,327
77,268
78,262
79,313
80,330
81,269
82,268
83,320
84,332
85,268
86,259
87,327
88,320
89,267
90,261
91,329
92,317
93,261
94,259
95,327
96,334
97,270
98,267
99,327
100,322
101,283
102,252
103,322
104,326
105,268
106,258
107,328
108,324
109,265
110,270
111,320
112,341
113,26
114,7
115,264
116,321
117,322
118,260
119,258
120,320
121,326
122,262
123,264
124,325
125,337
126,256
127,254
128,315
129,338
130,266
131,253
132,324
133,332
134,274
135,249
136,322
137,330
138,280
139,254
140,330
141,331
142,273
143,269
144,322
145,322
146,266
147,258
148,321
149,318
150,281
151,268
152,320
153,340
154,278
155,255
156,314
157,326
158,268
159,257
160,310
161,324
162,278
163,259
164,310
165,327
166,271
167,259
168,316
169,329
170,265
171,266
172,313
173,340
174,274
175,261
176,313
177,326
178,261
179,261
180,317
181,333
182,265
183,270
184,320
185,339
186,270
187,259
188,321
189,33
190,8
191,281
192,271
193,330
194,332
195,257
196,255
197,315
198,338
199,268
200,264
201,296
202,334
203,309
204,261
205,279
206,330
207,315
208,270
209,288
210,330
211,312
212,254
213,284
214,342
215,306
216,245
217,283
218,329
219,314
220,262
221,281
222,331
223,302
224,250
225,288
226,338
227,295
228,257
229,276
230,329
231,310
232,262
233,290
234,333
235,304
236,259
237,292
238,340
239,301
240,256
241,293
242,340
243,308
244,257
245,288
246,321
247,302
248,254
249,283
250,321
251,295
252,255
253,280
254,333
255,306
256,247
257,282
258,340
259,314
260,266
261,286
262,327
263,307
264,265
265,28
266,2
267,328
268,305
269,252
270,283
271,332
272,322
273,258
274,289
275,340
276,313
277,261
278,269
279,330
280,314
281,252
282,292
283,333
